k,MD,LM,model,accuracy,f1_0,f1_1,macro_avg_f1,macro_avg_precision,macro_avg_recall,precision_0,precision_1,recall_0,recall_1,weighted_avg_f1,weighted_avg_precision,weighted_avg_recall
64,254101,63777.3726,mlp,0.68896484375,0.7527493854314918,0.5808291291949988,0.6667892573132453,0.6854881676167301,0.7479159761000196,0.9338683788121991,0.43710795642126116,0.6304724750758561,0.865359477124183,0.7099372122475995,0.8101633908144558,0.68896484375
128,293020,74993.6829,mlp,0.6749674479166666,0.7376855378957047,0.5728342245989305,0.6552598812473176,0.6810336354831579,0.741872986732621,0.9363121040346782,0.4257551669316375,0.6085825747724317,0.8751633986928105,0.6966336971821526,0.8091714605178076,0.6749674479166666
256,317096,78544.4274,mlp,0.6609700520833334,0.7235567352355674,0.5617504733852304,0.642653604310399,0.673726201706474,0.7316797980570642,0.9332420403971242,0.41421036301582376,0.5908105765062852,0.8725490196078431,0.6832631837005714,0.8039909879242417,0.6609700520833334
512,340180,88759.1683,mlp,0.6624348958333334,0.7285340314136126,0.5537865748709122,0.6411603031422624,0.6662302804812854,0.7221703766031771,0.9196959682749505,0.4127645926876203,0.6031642826181187,0.8411764705882353,0.6850178190909674,0.7934581745495898,0.6624348958333333
1024,360136,104722.5524,mlp,0.7529296875,0.823447313328681,0.5886178861788618,0.7060325997537714,0.6956659973226238,0.7385170453096713,0.8885542168674698,0.5027777777777778,0.7672301690507152,0.7098039215686275,0.7649692821536772,0.7924868418988454,0.7529296875
1,0,0.0,svm,0.7766927083333334,0.8358851674641148,0.6507128309572301,0.7432989992106724,0.7328361817798869,0.7962773145669191,0.9327282434596903,0.5329441201000834,0.7572605114867794,0.8352941176470589,0.7897729156972636,0.8331726268027569,0.7766927083333334
2,106093,31662.8056,svm,0.7771809895833334,0.8420445367485866,0.6219276442971555,0.731986090522871,0.7194095381107074,0.7634008176309102,0.9003207500616827,0.5384983261597321,0.7908539228435197,0.7359477124183007,0.7872302715385134,0.8102184862970367,0.7771809895833334
4,148709,34504.5889,svm,0.7736002604166666,0.8390977443609022,0.6181718363985726,0.7286347903797374,0.7163341768121478,0.7610167690830125,0.899776730339866,0.5328916232844297,0.7860858257477243,0.7359477124183007,0.7840820153273143,0.8084137398133658,0.7736002604166666
8,171976,40786.9258,svm,0.7581380208333334,0.8255049318929075,0.6060445387062566,0.715774735299582,0.7053163797608766,0.7544353502129071,0.9008200922603793,0.5098126672613738,0.7618118768964023,0.7470588235294118,0.7708541503864662,0.8034500791991035,0.7581380208333334
16,205556,47661.1028,svm,0.7434895833333334,0.8132701421800947,0.5904365904365905,0.7018533663083426,0.69354901998812,0.7431534035374011,0.8970203868269734,0.4900776531492666,0.7438231469440832,0.742483660130719,0.7577793651345933,0.7956821084209039,0.7434895833333334
